"HIGH_1"	"HIGH_2"	"HIGH_3"	"HIGH_4"	"LOW_1"	"LOW_2"	"LOW_3"	"LOW_4"
"RPS10P10"	0	0	0	0	0	0	0	0
"KRT8P35"	0	1	0	0	1	0	0	0
"LINC00698"	1	2	0	1	0	0	0	0
"SYNPR"	0	1	0	0	0	0	0	0
"SYNPR.AS1"	0	0	0	0	0	0	0	0
"RNA5SP134"	0	0	0	1	0	0	0	0
"SNTN"	2	0	0	0	0	0	1	0
"LOC105377119"	1	1	1	0	1	0	2	0
"LOC100130345"	15	11	8	4	16	6	8	10
"C3orf49"	0	0	0	0	0	0	0	0
"THOC7"	524	627	412	610	333	324	342	370
"THOC7.AS1"	0	0	0	0	0	0	0	0
"ATXN7"	1535	1329	1276	872	1253	1425	1278	1567
"SCAANT1"	2	0	3	6	2	1	0	3
"PSMD6.AS2"	218	187	246	75	236	294	248	342
"PSMD6"	1096	863	876	864	649	633	652	727
"LOC105377121"	0	0	0	0	0	0	0	0
"PRICKLE2.AS1"	0	0	0	0	0	0	0	0
"LOC124906380"	0	0	2	0	0	1	0	0
"LINC00994"	2	0	1	0	1	0	4	1
"PRICKLE2"	679	784	430	581	295	291	392	570
"PRICKLE2.AS2"	0	0	0	0	0	0	0	0
"PRDX3P4"	0	0	0	0	0	0	0	0
"PRICKLE2.AS3"	0	7	3	0	0	0	0	0
"PRICKLE2.DT"	0	0	0	0	0	0	0	0
"LOC105377123"	2	3	0	1	0	1	0	0
"ADAMTS9"	392	638	290	233	154	213	200	299
"ADAMTS9.AS1"	6	11	6	2	6	5	7	2
"ADAMTS9.AS2"	53	95	52	36	25	54	73	61
"LOC105377124"	0	0	0	0	0	0	0	0
"LOC124909390"	0	0	1	0	1	1	0	1
"LOC107986017"	0	0	0	0	0	2	0	0
"LOC105377125"	2	0	1	0	0	0	1	0
"LOC105377127"	5	0	2	0	2	2	0	1
"LINC02040"	0	0	0	0	0	0	0	0
"LOC107986094"	9	5	13	5	8	19	6	11
"MAGI1"	1817	1517	1661	1095	2203	2244	1906	1839
"LOC124906246"	0	0	0	0	0	0	0	0
"LOC107986018"	1404	1461	1380	706	1589	1488	1764	1706
"MAGI1.IT1"	261	295	249	112	303	242	242	336
"MAGI1.AS1"	0	0	0	0	0	0	0	0
"LOC124900543"	5628	5515	6007	2355	7177	6816	6579	7054
"LOC105377128"	0	0	0	0	0	0	0	0
"SLC25A26"	3	0	0	1	1	0	0	1
"LOC107986095"	0	0	0	0	0	0	0	0
"LRIG1"	292	109	244	169	275	260	216	309
"LOC105377141"	0	0	0	0	0	0	0	0
"LOC107986036"	0	1	0	0	0	0	0	2
"LOC105377142"	0	1	0	0	0	0	0	0
"LOC105377143"	0	0	0	1	0	1	0	0
"LOC105377144"	1	3	1	8	3	2	3	3
"KBTBD8"	88	148	61	57	37	23	26	32
"LOC124909391"	0	0	0	0	0	0	0	0
"LOC124909392"	0	0	0	0	0	0	0	0
"MIR4272"	0	0	0	0	0	0	0	0
"LOC112267879"	39	46	42	21	38	67	40	65
"SUCLG2"	7123	4063	5270	5260	4747	5951	5679	5789
"NDUFB4P1"	0	0	0	0	0	0	0	0
"SUCLG2.DT"	160	104	110	106	135	108	117	131
"TAFA1"	8	0	7	4	4	10	3	3
"LOC107986019"	9	1	6	5	7	6	6	7
"LOC105377146"	0	0	0	0	0	0	0	0
"TAFA4"	0	0	2	0	0	0	0	0
"EOGT"	387	674	301	310	160	192	193	214
"TMF1"	1415	1688	1285	818	1018	1138	1153	1239
"MIR3136"	9	9	4	2	6	5	6	5
"UBA3"	896	1104	731	816	602	497	588	690
"ARL6IP5"	1853	2675	1120	1399	930	962	1170	1129
"LMOD3"	0	1	0	1	0	4	2	0
"FRMD4B"	1635	1948	1145	922	1099	1162	1426	1602
"RBM43P1"	2	22	1	11	7	5	11	3
"MITF"	284	539	192	186	92	165	127	172
"SAMMSON"	0	0	0	0	0	0	0	0
"RNPC3P1"	0	0	0	0	0	0	0	0
"LOC105377151"	0	0	0	0	0	0	0	0
"MDFIC2"	0	0	0	0	0	1	0	0
"LOC105377152"	0	0	0	0	0	0	0	0
"COX6CP6"	0	0	0	0	0	0	0	0
"FOXP1"	1160	1564	790	671	809	1082	1165	1109
"LOC124906247"	1	0	0	0	0	1	0	0
"FOXP1.AS1"	0	0	1	0	0	0	0	0
"LOC124906248"	0	0	0	0	0	0	0	0
"MIR1284"	5	7	3	0	5	4	4	6
"LOC105377155"	0	2	0	0	1	0	0	0
"EIF4E3"	1068	789	587	585	281	435	373	561
"GPR27"	0	6	1	0	1	2	2	1
"PROK2"	2	5	1	11	5	1	2	4
"LOC105377156"	0	1	0	1	0	0	0	0
"LOC105377157"	0	0	0	0	0	0	0	0
"LINC00877"	10	2	5	4	6	3	3	5
"CCDC137P"	0	0	0	0	0	0	0	0
"LINC00870"	80	28	139	93	87	114	117	140
"LOC124909393"	6	3	10	20	15	20	18	16
"LOC105377158"	0	0	0	1	0	0	0	0
"LOC105377159"	0	0	0	2	0	0	0	0
"RYBP"	41	38	26	29	16	30	20	36
"LOC105377160"	0	0	0	0	0	0	0	0
"LOC124909394"	0	0	0	0	0	0	0	0
"LOC124905404"	0	0	0	0	0	0	0	0
"LOC105377161"	0	0	0	0	0	0	0	0
"LOC102724817"	0	0	0	0	0	0	0	0
"LOC105377162"	0	0	0	0	0	0	0	0
"SHQ1"	488	504	417	276	379	379	411	440
"LOC124909396"	0	0	0	0	0	0	0	0
"LOC124906201"	0	0	0	0	0	0	0	0
"PSMD12P1"	0	0	0	0	0	0	1	0
"LAPTM4BP2"	0	0	0	0	0	0	1	2
"GXYLT2"	88	215	35	22	7	8	19	21
"FTH1P23"	3	1	8	3	2	8	0	5
"LOC124909395"	0	3	0	0	0	2	0	1
"PPP4R2"	2815	2213	2404	2210	2310	2169	2172	2404
"RNU7.19P"	4	1	4	1	1	2	5	2
"EBLN2"	120	105	105	67	114	141	128	133
"LOC124906349"	1	0	0	0	0	0	0	0
"LOC107986098"	1	0	0	0	0	0	0	0
"RNU2.64P"	1	1	2	6	2	4	6	0
"PDZRN3"	66	162	44	53	23	47	79	67
"LOC101927296"	0	0	0	0	0	0	0	0
"PDZRN3.AS1"	0	12	3	0	1	1	2	0
"LOC105377164"	0	0	1	0	0	2	1	0
"LINC02005"	0	1	0	5	0	14	0	7
"LINC02047"	0	0	0	0	0	0	0	0
"AKR1B1P2"	0	0	0	0	0	0	0	0
"CNTN3"	639	399	332	320	536	409	469	518
"LOC105377166"	5	2	4	2	6	4	4	4
"LOC105377167"	0	1	1	0	0	0	0	0
"LOC105377168"	0	0	0	0	0	0	0	0
"LOC107986099"	0	0	0	0	0	0	0	0
"MIR4444.2"	0	0	0	0	1	0	0	0
"MYLKP1"	0	0	0	0	0	0	0	0
"LOC124905452"	0	0	0	0	0	0	0	0
"FAM86DP"	0	0	0	1	0	0	0	0
"LINC02018"	0	0	0	0	0	0	0	0
"SNRPCP10"	0	0	0	0	0	0	0	0
"UNC93B3"	1	0	0	0	0	0	0	0
"RPL23AP49"	9	13	5	10	2	9	0	9
"MIR1324"	0	0	0	0	0	0	0	0
"AGGF1P3"	22	31	3	1	2	8	2	18
"RARRES2P1"	0	0	0	0	0	0	0	0
"FRG2C"	2	0	0	1	0	0	0	1
"DUX4L26"	0	0	0	0	0	0	0	0
"LINC00960"	7	58	2	0	0	3	0	6
"ZNF717"	477	523	470	303	459	568	525	619
"MIR4273"	0	0	0	0	0	0	0	0
"ROBO2"	225	33	124	16	35	63	20	251
"LOC124900544"	62	185	77	56	59	48	70	125
"LOC102724949"	7	8	3	0	10	5	6	9
"LOC105377171"	0	0	0	0	0	0	0	0
"LINC02077"	0	0	0	0	0	0	0	0
"LOC105377173"	0	0	0	0	0	0	0	0
"MRPS17P3"	0	0	0	0	0	0	0	0
"ROBO1"	1222	1203	764	395	226	276	329	549
"LOC101927374"	3	1	11	0	0	3	2	2
"MIR3923"	0	0	0	0	0	0	0	0
"OSBPL9P1"	0	0	0	0	0	0	0	0
"LOC105377177"	7	52	3	1	3	0	2	0
"LOC124906335"	0	0	1	0	0	0	0	0
"LOC105377176"	0	0	0	0	0	0	0	0
"LINC02050"	2	5	1	0	0	0	0	0
"LOC105377174"	0	0	0	0	0	0	0	0
"LINC02027"	300	150	228	440	346	376	317	289
"GBE1"	3741	1873	3779	2713	3528	3031	2831	4033
"LOC124906198"	0	0	0	0	0	0	0	0
"SETP6"	36	17	42	11	16	30	28	26
"LOC124909490"	158	83	154	61	90	148	152	137
"LOC105377178"	7	33	2	5	7	6	3	2
"LOC105377179"	0	10	1	0	0	0	0	0
"LOC124906199"	0	0	0	0	0	1	0	0
"LINC02008"	0	5	0	1	0	0	0	0
"RPL7AP23"	0	0	0	0	0	0	0	0
"LOC101927439"	0	0	0	0	0	0	1	0
"LOC105377181"	0	0	0	0	0	0	0	0
"LOC105377183"	0	0	0	0	0	0	0	0
"LOC105377186"	0	0	0	0	0	0	0	0
"LOC105377187"	0	0	0	0	0	2	0	0
"LOC105377188"	0	0	0	0	0	0	0	0
"LINC00971"	0	0	0	0	0	0	0	0
"LINC02025"	0	0	0	0	0	0	0	0
"LOC105377193"	0	0	0	0	0	0	0	0
"CADM2"	13	25	20	9	47	56	33	41
"LOC124906200"	3	1	12	4	13	38	21	19
"SNORA95"	0	0	0	0	0	0	0	0
"MIR5688"	0	0	0	0	0	0	0	0
"CADM2.AS2"	0	0	0	0	0	0	0	0
"THAP12P2"	1	4	0	0	2	1	0	2
"LOC124906345"	0	0	0	0	0	0	0	0
"LOC102723364"	0	0	0	0	0	0	0	0
"LINC02070"	0	0	0	0	0	0	0	0
"LOC101927518"	0	0	0	0	0	0	0	0
"LOC105377196"	0	0	0	0	0	0	0	0
"VGLL3"	63	400	17	23	18	42	213	47
"LOC285232"	0	0	0	0	0	0	0	0
"PPATP1"	0	0	0	2	0	0	0	1
"LINC00506"	11	16	7	3	5	7	8	9
"MIR4795"	0	0	0	0	0	0	0	0
"CHMP2B"	1099	1132	802	1091	557	596	641	803
"POU1F1"	4	0	0	0	0	0	0	0
"KRT8P25"	3	1	2	0	0	0	0	0
"APOOP2"	0	0	0	0	0	0	0	0
"LOC105377198"	0	0	0	0	0	0	0	0
"HTR1F"	1	0	0	1	0	3	1	0
"RNU6ATAC6P"	0	0	0	0	0	0	0	0
"CGGBP1"	2099	2273	1614	1663	1557	1683	1580	1881
"ZNF654"	850	840	652	617	643	746	671	823
"CBX5P1"	3	2	4	2	1	4	6	1
"C3orf38"	564	662	366	424	355	322	344	419
"LOC105377202"	0	0	2	0	0	0	0	0
"ABCF2P1"	0	0	0	0	0	0	0	0
"CSNKA2IP"	0	0	0	0	0	0	0	0
"ICE2P2"	0	0	1	0	0	0	0	1
"EPHA3"	1088	2801	483	752	84	375	435	616
"LOC124906249"	0	0	0	0	0	0	0	0
"LOC124906381"	0	0	0	0	0	0	0	0
"LOC124909499"	0	0	0	0	0	0	0	0
"LOC101930420"	0	0	0	0	0	0	0	0
"PROS1"	11735	8412	10172	10409	8266	9343	9682	9414
"HSPE1P17"	73	51	57	30	65	72	85	83
"RNU6.511P"	0	0	0	0	0	0	0	0
"ARL13B"	227	314	206	151	154	160	160	198
"HMGN1P7"	0	0	1	0	3	0	1	0
"STX19"	1	10	2	1	8	1	8	3
"DHFR2"	333	256	324	271	298	292	327	381
"NSUN3"	432	522	339	305	305	357	356	411
"LOC105373992"	0	2	0	0	0	0	0	0
"WDR82P1"	0	0	0	0	0	0	0	0
"LINC00879"	0	0	0	0	0	0	0	0
"RPS18P6"	0	1	0	0	0	0	0	0
"MTHFD2P1"	1	2	0	3	2	0	1	1
"MIR8060"	0	0	0	0	0	0	0	0
"RNU6.1094P"	0	0	0	0	0	0	0	0
"RPL18AP8"	0	0	0	0	0	0	0	0
"RCC2P5"	0	0	0	0	0	0	0	0
"CDV3P1"	0	0	0	0	0	0	0	0
"LOC124909397"	0	2	2	0	0	1	0	0
"EPHA6"	20	58	6	0	0	10	18	4
"LOC107986103"	12	63	5	3	2	4	43	16
"LOC101929278"	0	0	0	0	0	0	0	0
"LOC124906256"	0	1	0	0	1	0	0	0
"ARL6"	151	248	106	159	137	121	135	100
"LOC101929298"	1	1	0	1	1	0	0	1
"CRYBG3"	1729	2145	1420	1217	769	879	957	1272
"LOC105373994"	0	0	0	0	0	0	0	0
"RIOX2"	760	893	620	496	370	439	442	497
"LOC124909398"	0	1	1	0	0	0	0	0
"GABRR3"	4	1	0	0	0	1	0	1
"OR5AC2"	0	0	0	0	0	0	0	0
"OR5H1"	0	0	0	0	0	1	0	0
"OR5H14"	0	0	0	0	0	0	0	0
"LOC105373996"	0	0	0	0	0	0	0	0
"OR5H15"	0	0	0	0	0	0	0	0
"LOC105373998"	0	0	0	0	0	0	0	0
"LOC105373997"	0	0	0	0	0	0	0	0
"LOC101929320"	0	0	0	0	0	0	0	0
"LOC105373999"	1	0	0	0	0	0	0	0
"OR5H6"	0	0	0	0	0	0	0	0
"OR5H2"	0	0	0	0	0	0	0	0
"OR5K4"	0	0	0	0	0	0	0	0
"LOC105374000"	0	0	0	0	0	0	0	0
"OR5K3"	0	0	0	0	0	0	0	0
"UBFD1P1"	0	0	0	0	0	0	0	0
"OR5K1"	0	0	0	0	0	0	0	0
"OR5K2"	0	0	0	0	0	0	0	0
"CLDND1"	839	1066	603	729	456	601	570	599
"RPL38P4"	0	2	0	0	1	0	0	1
"GPR15"	5	2	3	1	2	0	0	3
"CPOX"	1161	460	949	998	960	999	959	1528
"WWP1P1"	3	3	3	2	5	2	1	5
"ST3GAL6.AS1"	10	16	4	13	13	7	16	8
"ST3GAL6"	1751	932	1212	1030	2182	1675	1487	1341
"PDLIM1P4"	90	69	84	37	222	124	135	119
"DCBLD2"	1131	1785	819	911	716	829	986	1135
"LOC124906384"	4	5	1	0	2	10	7	7
"LOC105374002"	3	1	0	0	6	1	2	4
"LOC105374003"	2	3	0	0	0	0	0	0
"LOC124906343"	0	0	0	0	0	0	0	0
"LOC124909399"	0	0	0	0	0	0	0	0
"LOC107986104"	0	0	0	0	0	0	0	0
"LOC105374004"	0	0	0	0	0	0	0	0
"LOC105374007"	0	1	0	0	0	0	0	0
"LOC105374005"	0	1	1	0	2	0	0	1
"LOC124909401"	0	7	0	0	0	0	1	1
"COL8A1"	78	592	40	39	70	66	89	10
"HP09053"	2	4	10	0	6	5	7	3
"CMSS1"	196	206	148	166	134	106	148	119
"FILIP1L"	341	1486	209	208	151	165	264	205
"MIR3921"	0	0	0	0	0	0	0	0
"LOC124909400"	516	618	575	260	489	404	499	455
"LOC105374009"	23	8	12	7	68	57	61	41
"TMEM30CP"	0	0	0	0	0	1	0	0
"VTI1BP1"	0	0	0	0	1	0	0	0
"TBC1D23"	1570	1389	1230	1027	1043	1097	1156	1297
"NIT2"	3157	1437	2400	3365	2507	2435	2321	3045
"TOMM70"	3410	2525	3005	2825	3152	2817	3025	3116
"LNP1"	152	63	172	149	168	184	201	144
"TMEM45A"	1261	1922	1012	1007	551	666	849	747
"ADGRG7"	830	215	728	648	928	690	739	478
"GMFBP1"	0	0	0	0	0	0	0	0
"TFG"	2364	2174	1735	2160	1409	1284	1087	1461
"ABI3BP"	291	604	149	195	144	368	477	265
"LOC124906260"	5	3	3	10	3	15	16	23
"LOC100421580"	2	1	3	0	2	5	3	4
"ACTR3P3"	0	0	0	0	0	0	0	0
"LOC124906356"	0	0	0	0	0	0	0	0
"IMPG2"	66	78	41	36	35	38	36	49
"SENP7"	785	1130	655	654	767	635	846	968
"ZNF90P1"	0	0	0	0	0	0	0	1
"LOC124906362"	0	0	0	0	0	0	0	0
"FAM172BP"	0	1	0	0	0	0	0	0
"TRMT10C"	416	504	269	365	184	232	227	259
"PCNP"	1738	2025	1122	1695	994	1150	1017	1064
"RPS18P5"	24	36	13	36	20	15	27	24
"RPL32P7"	0	0	2	0	0	0	0	0
"ZBTB11"	928	1091	778	631	784	794	755	852
"RNY1P12"	2	6	5	4	5	1	6	3
"ZBTB11.AS1"	27	12	14	9	13	18	11	18
"LOC124906262"	821	354	794	313	924	858	1008	1156
"RPL24"	3665	5165	2413	5387	2752	2505	3186	3025
"LOC124909402"	68	37	61	26	88	120	96	116
"PDCL3P4"	29	21	27	17	39	58	60	58
"CEP97"	288	424	236	198	176	186	206	164
"NXPE3"	266	350	164	224	114	176	160	204
"NFKBIZ"	1599	1130	1494	1146	1653	2361	2002	2179
"LINC02085"	11	4	15	12	22	32	32	13
"LOC101929411"	1	0	0	0	0	2	0	0
"LOC107986105"	0	0	0	0	0	0	0	0
"ZPLD1"	30	45	9	3	1	6	13	2
"LOC105374016"	42	14	41	34	39	52	65	64
"LOC107986106"	1	1	4	6	4	9	4	8
"LOC105374017"	0	0	0	0	1	1	7	5
"LOC105374018"	0	0	1	0	0	0	0	0
"NDUFA4P2"	0	0	0	0	0	0	0	0
"MIR548AB"	0	0	0	0	0	0	0	0
"LOC124909491"	0	0	0	0	0	0	0	0
"LOC124909492"	4	0	8	0	2	3	2	0
"LOC105374020"	11	7	5	0	4	26	23	6
"LOC391562"	0	0	0	0	0	0	0	0
"LOC105374021"	0	1	0	4	0	0	2	1
"LOC107986108"	3	0	5	0	4	5	0	6
"LOC105374023"	0	0	0	0	0	0	0	0
"ALCAM"	5804	5371	3847	3376	2549	3057	3516	4471
"LOC124906263"	821	944	659	337	503	687	733	1102
"CBLB"	966	1897	743	576	754	776	763	807
"LOC105374024"	0	0	0	0	0	0	0	0
"LOC124909403"	5	23	2	1	0	0	0	0
"LOC105374026"	0	0	0	0	0	0	0	0
"LOC105374027"	3	15	0	1	1	2	0	1
"LOC107986110"	0	0	3	0	0	0	0	0
"LOC107986112"	0	0	0	0	0	0	0	0
"LOC101929485"	2	0	0	2	0	1	0	4
"LOC105374029"	13	28	4	8	1	5	5	12
"LOC101929534"	17	38	22	11	8	13	8	18
"FCF1P3"	0	0	0	0	0	0	0	0
"LOC124906264"	4	16	6	3	8	3	1	7
"LOC107986021"	3	6	5	2	2	3	3	5
"LOC344593"	6	2	1	2	2	1	2	2
"LINC00882"	5	5	2	1	2	1	0	1
"LOC124909404"	0	0	1	0	0	0	0	0
"DUBR"	63	134	37	46	37	59	48	47
"CSP2"	1	1	1	2	3	1	2	2
"CCDC54"	0	0	0	0	0	0	0	0
"CCDC54.AS1"	2	6	2	6	3	9	2	3
"LINC01990"	2	0	0	0	0	0	2	2
"BBX"	2050	2388	1576	1014	1301	1033	1314	1388
"LINC00635"	0	1	0	0	0	0	0	0
"LINC00636"	0	0	0	0	0	0	1	0
"LOC124906266"	2	0	2	0	1	0	2	1
"LOC124906265"	72	144	50	41	43	59	62	67
"CD47"	1541	1929	1008	1086	754	910	923	1067
"LOC105374031"	0	2	1	1	1	2	0	1
"LINC01215"	12	5	3	2	0	4	1	4
"IFT57"	256	383	171	161	125	133	170	143
"LOC124909405"	1	0	1	1	0	0	1	0
"HHLA2"	0	1	2	0	0	15	33	0
"MYH15"	9	18	6	8	3	1	13	4
"LOC124900545"	0	0	0	0	0	1	0	0
"LOC124909406"	0	0	0	0	0	0	1	0
"CIP2A"	66	177	53	48	28	43	47	57
"LOC124900556"	0	4	0	0	0	0	0	0
"DZIP3"	478	752	393	326	348	479	471	518
"LOC105374033"	0	0	0	0	0	0	0	0
"LOC105374034"	0	0	0	0	0	0	0	0
"RETNLB"	0	0	0	0	0	0	0	0
"TRAT1"	38	101	13	15	7	25	6	28
"GUCA1C"	0	0	0	0	0	0	0	0
"MORC1"	3	1	2	1	7	2	2	4
"LOC124906382"	0	0	0	0	0	0	0	0
"MORC1.AS1"	0	0	0	0	0	0	0	0
"C3orf85"	468	43	358	748	440	345	185	521
"LINC00488"	1	4	0	2	4	1	0	10
"DPPA2"	0	0	0	0	0	0	0	0
"DPPA4"	9	2	11	22	24	16	12	33
"LOC100129989"	0	0	0	0	6	1	1	1
"H3P12"	0	0	0	0	0	0	0	0
"LINC01205"	2	1	6	6	26	10	8	10
"PPIAP15"	0	0	0	0	0	2	0	0
"MIR4445"	0	0	0	0	2	1	0	3
"LOC124906267"	0	0	11	0	26	17	8	19
"NFYBP1"	0	0	1	0	0	0	0	3
"LOC105374036"	0	0	0	0	0	0	0	0
"LOC105374037"	1	0	0	0	0	1	1	1
"RPSAP29"	0	0	0	0	1	0	0	0
"LOC151760"	9	17	3	8	6	6	18	16
"NECTIN3.AS1"	11	3	6	2	2	7	3	12
"NECTIN3"	1624	983	1305	1375	1373	1404	1489	1613
"LOC124909493"	39	53	40	38	42	45	40	52
"LOC105374038"	0	2	2	2	1	0	1	2
"LOC105374039"	0	0	0	0	0	0	0	2
"CD96"	228	426	143	164	85	156	86	187
"ZBED2"	0	0	0	0	0	0	0	0
"PLCXD2"	82	50	53	44	51	47	57	67
"PLCXD2.AS1"	0	0	0	2	0	0	0	0
"PHLDB2"	4019	2258	3541	2487	3642	3530	3894	3729
"LOC107984087"	0	1	1	0	0	0	2	1
"LOC105374040"	1	7	0	0	1	1	2	0
"LOC124906336"	0	0	0	0	0	0	0	0
"ABHD10"	982	651	888	951	785	740	983	757
"TAGLN3"	0	1	0	0	0	0	0	0
"RFKP2"	0	0	0	0	0	0	0	0
"LOC124906250"	0	0	0	0	0	0	0	0
"TMPRSS7"	0	1	0	0	0	0	0	1
"C3orf52"	12	30	0	0	1	2	2	2
"MIR567"	0	0	0	0	0	3	0	0
"GCSAM"	0	0	0	0	0	0	1	0
"TBILA"	0	0	0	0	0	0	0	0
"SLC9C1"	0	2	0	0	0	0	0	0
"LOC124909407"	0	0	0	0	0	0	0	0
"LOC100420831"	0	0	0	0	0	0	0	0
"LOC100532749"	0	0	0	0	0	0	0	0
"LOC105374042"	0	0	0	0	0	0	0	1
"CD200"	33	120	10	4	3	9	13	5
"LOC105374041"	0	0	0	0	0	0	0	0
"LOC124909408"	0	0	0	0	0	0	0	0
"BTLA"	41	35	24	9	11	17	22	39
"ATG3"	830	812	673	820	501	463	589	754
"SLC35A5"	887	931	759	798	657	614	640	774
"CCDC80"	826	11600	209	274	44	174	518	200
"LOC100653395"	5	1	1	1	3	1	1	0
"LINC02042"	0	0	0	0	0	0	0	0
"MIR9900"	0	0	0	0	0	0	0	0
"CD200R1L.AS1"	0	4	0	1	0	0	0	0
"CD200R1L"	0	0	0	0	0	0	0	0
"CD200R1"	124	147	79	93	64	55	91	107
"GTPBP8"	166	248	148	201	124	142	162	147
"NEPRO"	668	755	506	548	434	532	484	583
"LOC124906268"	0	2	1	3	2	6	3	3
"LINC02044"	0	0	0	0	0	0	0	0
"LOC102723430"	0	1	0	0	0	1	0	0
"LOC124909486"	0	6	1	2	0	0	0	1
"BOC"	41	77	10	26	4	23	33	19
"LOC124909409"	0	2	0	1	0	0	0	0
"CFAP44"	437	543	443	186	532	543	565	505
"LOC101180897"	0	0	0	0	0	1	0	0
"PHF5DP"	17	17	22	5	30	24	23	21
"CFAP44.AS1"	0	0	0	0	0	0	0	0
"MIR8076"	5	2	3	2	3	0	2	2
"SPICE1"	508	568	504	268	572	527	581	486
"SIDT1"	52	72	33	29	18	49	29	30
"MIR4446"	0	1	1	0	0	0	0	0
"LOC124909410"	8	6	8	14	4	14	6	9
"RN7SL767P"	31	29	239	82	231	281	244	189
"USF3"	3384	2201	2867	2695	2894	3454	3259	3482
"NAA50"	2948	2268	2563	2510	2134	2205	2044	2218
"ATP6V1A"	3258	2701	2579	2805	1901	1991	1953	2357
"GRAMD1C"	1441	773	1473	1183	1447	1468	1655	1001
"RPS10P4"	0	0	0	1	0	0	1	0
"LOC100420528"	14	12	10	4	3	2	5	10
"ZDHHC23"	557	503	547	334	328	434	397	370
"CCDC191"	279	545	286	137	221	292	408	391
"LOC105374048"	4	5	6	1	6	11	6	7
"QTRT2"	363	432	300	252	280	276	305	295
"H2BP3"	0	0	0	0	0	0	0	0
"DRD3"	0	0	0	0	0	0	0	0
"FAM214BP1"	0	0	0	0	0	0	0	0
"ZNF80"	0	2	2	1	0	12	1	3
"TIGIT"	41	59	34	33	24	36	25	45
"LOC124909411"	0	3	0	1	2	3	0	2
"ZBTB20"	16726	14497	12213	9913	16523	17002	14850	15694
"MIR568"	0	0	0	0	0	0	0	0
"ZBTB20.AS1"	3	0	2	1	1	2	1	1
"ZBTB20.AS5"	0	0	0	0	0	0	0	0
"MIR4796"	8	8	7	4	5	9	8	6
"ZBTB20.AS3"	0	0	0	0	0	0	0	0
"YBX1P3"	1	0	1	0	3	3	3	1
"ZBTB20.AS4"	0	0	1	1	1	1	0	1
"LOC105374051"	0	1	0	0	0	0	0	0
"GAP43"	0	16	0	0	1	0	0	0
"LOC124909412"	4	35	1	3	1	4	4	4
"LOC124906269"	0	2	0	0	0	0	0	0
"LSAMP"	19	21	4	12	5	24	39	12
"LOC124909413"	0	5	0	0	0	0	0	0
"LOC105374053"	0	1	0	0	0	0	0	0
"SNORD155"	0	0	0	0	0	0	0	0
"LOC107986116"	0	0	0	0	0	0	0	0
"LOC124909414"	0	3	1	0	0	2	7	1
"LOC105374052"	1	1	2	3	0	1	1	0
"LSAMP.AS1"	0	0	1	0	0	1	0	0
"LINC00903"	0	0	0	0	0	0	0	0
"TUSC7"	0	0	0	0	0	1	0	0
"MIR4447"	0	0	0	0	0	0	0	0
"LINC00901"	0	0	0	0	0	0	0	0
"LOC124909415"	14	6	2	11	12	7	14	2
"LOC105374054"	0	2	0	0	0	0	0	0
"LOC124906271"	0	0	0	0	0	0	0	0
"LOC105374056"	0	0	0	0	0	0	0	0
"LOC124906270"	22	12	16	13	14	13	14	6
"LINC02024"	0	0	1	0	0	0	1	0
"LOC101926953"	0	0	0	0	0	0	0	0
"LOC124909416"	0	0	0	0	0	0	0	0
"LOC105374058"	0	0	0	0	0	0	0	0
"LOC105374060"	0	0	0	0	0	0	0	0
"LOC101926968"	0	0	0	0	0	0	0	0
"LOC124909417"	0	0	0	0	0	0	0	0
"LOC105374059"	0	0	0	0	0	0	0	0
"IGSF11"	2	5	2	1	0	3	2	4
"IGSF11.AS1"	0	0	0	0	1	0	0	0
"TEX55"	0	0	0	0	0	0	0	0
"UPK1B"	0	1	0	0	2	18	19	0
"B4GALT4"	501	455	349	269	327	345	326	299
"B4GALT4.AS1"	0	0	0	0	0	0	0	0
"ARHGAP31"	699	1105	393	604	338	248	376	472
"ARHGAP31.AS1"	0	2	1	0	0	0	2	0
"LOC124906273"	7	13	9	1	3	7	4	5
"TMEM39A"	594	676	650	355	481	474	406	472
"POGLUT1"	319	479	288	222	184	229	216	334
"TIMMDC1"	772	661	598	639	492	508	540	580
"CD80"	78	85	58	47	21	27	17	35
"CSRP2P1"	4	3	5	0	6	4	2	1
"LOC107986118"	0	0	0	0	0	0	0	0
"ADPRH"	155	266	85	77	49	51	54	106
"PLA1A"	451	349	571	579	252	304	280	270
"RPL10P7"	3	0	2	1	1	5	0	2
"POPDC2"	20	42	15	6	19	27	17	18
"COX17"	517	331	395	726	351	342	365	411
"LOC105374063"	0	0	0	0	0	0	0	0
"LOC105374064"	0	0	0	0	0	0	0	1
"CFAP91"	51	122	32	17	12	23	95	28
"NR1I2"	2975	948	2358	1299	3256	2832	2395	2581
"GSK3B"	1237	1601	961	1200	772	932	854	1201
"LOC100129707"	1	0	0	0	1	0	0	0
"MIR6529"	4	10	13	4	5	10	6	12
"LOC105374065"	0	0	0	0	1	0	0	2
"GPR156"	2	3	1	0	0	2	0	3
"LOC124909418"	0	2	0	0	0	0	1	0
"LRRC58"	1613	1622	1202	1290	1398	1255	1249	1298
"LRRC58.DT"	0	0	0	3	0	0	2	1
"LOC124906274"	0	0	0	0	0	0	0	0
"FSTL1"	2241	7833	1010	1295	1562	1115	1074	1058
"MIR198"	0	0	0	0	0	0	0	0
